code,entry_date,entry_price,outcome,outcome_date,outcome_pct,hold_days
40130,2025-09-22,1451.0,STOPPED,2025-09-29,-10.48,7
40130,2025-09-24,1530.0,STOPPED,2025-09-26,-9.74,2
40750,2023-06-13,1616.0,STOPPED,2023-06-14,-9.28,1
40750,2025-06-16,928.0,STOPPED,2025-06-17,-8.41,1
40750,2025-08-22,912.0,STOPPED,2025-09-12,-11.4,21
40750,2025-08-25,919.0,STOPPED,2025-09-12,-12.08,18
40750,2025-09-08,954.0,STOPPED,2025-09-12,-15.3,4
40750,2025-09-09,960.0,STOPPED,2025-09-12,-15.83,3
40750,2025-11-26,971.0,STOPPED,2025-12-05,-9.06,9
40750,2025-11-27,967.0,STOPPED,2025-12-05,-8.69,8
40750,2025-12-11,980.0,STOPPED,2025-12-15,-10.71,4
40750,2026-03-09,1126.0,STOPPED,2026-06-02,-9.59,85
40750,2026-03-10,1316.0,STOPPED,2026-04-09,-8.28,30
40750,2026-03-11,1429.0,STOPPED,2026-03-24,-9.45,13
40750,2026-03-12,1615.0,STOPPED,2026-03-16,-11.58,4
40750,2026-03-17,1818.0,STOPPED,2026-03-19,-10.84,2
40750,2026-03-18,1861.0,STOPPED,2026-03-19,-12.9,1
41700,2026-08-26,231.0,STOPPED,2026-08-27,-34.63,1
42550,2024-11-18,765.0,STOPPED,2024-11-19,-8.5,1
42550,2024-11-19,716.0,STOPPED,2024-11-26,-8.24,7
42550,2024-12-05,699.0,STOPPED,2024-12-06,-8.3,1
42550,2025-01-30,817.0,STOPPED,2025-01-31,-12.36,1
42550,2025-04-18,830.0,STOPPED,2025-04-22,-9.16,4
42550,2025-08-13,940.0,SUCCESS,2026-08-13,240.43,365
42550,2025-08-14,929.0,SUCCESS,2026-08-13,244.46,364
42550,2025-08-19,1130.0,STOPPED,2025-10-02,-11.59,44
42550,2025-08-20,1196.0,STOPPED,2025-10-01,-10.54,42
42550,2025-11-14,1461.0,TIMEOUT,,,
42550,2025-11-17,1750.0,STOPPED,2025-11-18,-15.09,1
